Z Q M X A Y B DT DK COL
86 84 223.00000 -.20381558E-02 0.10334249E-01 0.12864213E-03 0.93154790E-02 0.48371626E-02 -.44492596E-03 01
86 84 223.00000 0.40332218E-03 0.17530276E-02 0.53537403E-03 -.92335642E-02 -.13023271E-01 0.10854026E-03 01
86 84 223.00000 -.90766761E-03 -.13292244E-02 0.21291746E-01 0.14779560E-01 0.46327782E-02 0.48203969E-03 01
86 84 223.00000 -.10697314E-02 -.96957393E-02 0.76076433E-04 -.49347949E-02 -.25636267E-01 -.49663189E-04 01
86 84 223.00000 0.20401371E-03 0.64583999E-02 0.37536692E-04 0.73037683E-02 0.35041006E-01 0.61262954E-04 01
86 84 223.00000 0.54666896E-01 -.17688733E-01 0.25992563E-01 0.18176918E-01 0.74344482E-01 0.59828680E-02 01
86 84 223.00000 0.18105238E-03 -.36750055E-02 -.38126804E-03 -.11969882E-01 -.16350378E-02 0.11144703E-03 01
86 84 223.00000 0.26855459E-02 -.12622514E-01 -.23302747E-03 -.13086110E-01 -.31218011E-01 0.78343658E-03 01
86 84 223.00000 -.13081112E-02 -.94425179E-02 -.98820516E-04 -.69394793E-02 -.40427739E-01 -.92960549E-04 01
86 84 223.00000 0.15789905E-02 0.36131267E-02 -.13619852E-03 0.10809648E-01 0.13665191E-01 0.38248639E-03 01
86 84 223.00000 -.15336771E-02 0.29319434E-02 0.33369931E-03 -.86692847E-02 -.95691891E-02 -.30970243E-03 01
86 84 223.00000 -.14583252E-02 -.15307873E-01 -.34728976E-04 -.11700292E-01 -.49791631E-01 0.32814457E-03 01
86 84 223.00000 0.17188076E-01 0.43270046E-01 -.16350959E-02 -.23939283E-03 0.89768789E-01 -.65727239E-03 01
86 84 223.00000 -.61025701E-03 -.11654978E-02 0.69783228E-03 0.69617209E-02 -.21132808E-01 -.11859439E-03 01
86 84 223.00000 0.31777224E-01 0.31118807E-01 0.92448194E-02 0.32056459E-02 0.10442104E+00 0.19612601E-02 01
86 84 223.00000 0.15047715E-02 -.13164509E-01 -.14217162E-05 0.10154401E-01 -.27570659E-01 0.55027429E-03 01
86 84 223.00000 -.95392042E-03 0.72828656E-02 0.38526040E-03 0.23672520E-02 0.21112146E-01 -.19295745E-03 01
86 84 223.00000 -.41945546E-03 -.70515772E-02 0.33109108E-03 0.28398355E-02 -.16471472E-01 -.17204628E-04 01
86 84 223.00000 -.80624066E-03 -.51463459E-02 0.10711380E-03 0.65711458E-02 -.16279045E-01 -.11794770E-03 01
86 84 223.00000 0.10419536E-01 -.20591181E-01 0.60743394E-02 0.23256077E-01 -.40804694E-01 0.41372368E-02 01
86 84 223.00000 -.34765555E-02 -.65176836E-02 -.28789017E-03 -.34345221E-02 -.36985752E-01 -.57086402E-03 01
86 84 223.00000 -.14926823E-02 -.32426737E-02 0.33107290E-03 -.93192856E-03 -.47751592E-02 -.28122129E-03 01
86 84 223.00000 0.14361471E-02 0.78482712E-02 0.69279973E-03 -.68253930E-02 0.39724468E-02 0.34557767E-03 01
86 84 223.00000 0.31982547E-02 -.10368624E-01 -.19309552E-02 -.13438032E-01 -.31540338E-01 0.86005502E-03 01
86 84 223.00000 -.22131224E-02 -.16382820E-02 0.20086895E-01 0.15516045E-01 -.24397368E-01 0.32057201E-03 01
86 84 223.00000 -.14084294E-02 0.81440950E-02 0.64809047E-03 0.17910157E-02 0.20146193E-01 -.29323429E-03 01
86 84 223.00000 0.65010147E-02 -.13417714E-01 -.20872021E-01 -.15373190E-01 0.76770822E-02 0.24117585E-02 01
86 84 223.00000 -.21382972E-03 0.78215610E-02 0.25698999E-03 0.94914889E-02 0.94146988E-02 -.30249505E-04 01
86 84 223.00000 0.34678119E-03 -.14918498E-01 0.24316948E-02 0.14435907E-01 -.31337246E-01 0.69502577E-03 01
86 84 223.00000 0.13623464E-02 -.88438730E-02 0.93568612E-03 0.12689747E-01 -.32576938E-01 0.43461633E-03 01
86 84 223.00000 -.17109332E-01 -.11615625E-01 0.58857751E-03 0.33983407E-02 -.51399049E-01 -.17251944E-02 01
86 84 223.00000 0.82640808E-02 0.27097941E-01 -.15071836E-02 -.65924743E-02 0.42230927E-01 0.81050212E-03 01
86 84 223.00000 0.23307277E-02 0.38763322E-02 -.34246845E-03 -.23703344E-02 0.52657160E-01 0.51746844E-03 01
86 84 223.00000 -.84937545E-03 0.70891902E-02 0.32684896E-02 0.13127484E-01 -.48368890E-02 -.10204980E-03 01
86 84 223.00000 -.20525244E-03 0.23362176E-02 0.17339078E-03 0.35059320E-03 0.11180543E-01 -.39765595E-04 01
86 84 223.00000 0.10627099E-01 0.34329559E-01 0.30264208E-02 0.29103990E-02 0.85904038E-01 0.35478133E-03 01
86 84 223.00000 0.10821363E-02 0.12651476E-01 -.10170670E-02 -.10120545E-01 -.13872386E-01 0.18980280E-03 01
86 84 223.00000 0.33157045E-02 0.34163137E-02 -.40755826E-03 -.97805588E-02 0.14265531E-02 0.74559465E-03 01
86 84 223.00000 0.77401624E-03 0.51227367E-02 -.97486631E-03 -.12232945E-01 0.24904238E-01 0.23139709E-03 01
86 84 223.00000 -.28956826E-03 -.29878053E-03 -.28266621E-03 -.69527853E-02 -.12066021E-01 -.54341563E-04 01
86 84 223.00000 0.73202923E-06 -.45154867E-02 0.37935135E-02 0.14229123E-01 -.17138595E-01 0.23600465E-03 01
86 84 223.00000 -.16876177E-02 -.45364805E-03 0.23179111E-01 0.15532638E-01 0.41662202E-01 0.38151184E-03 01
86 84 223.00000 0.43527092E-02 0.70969238E-02 -.14555902E-01 -.15381029E-01 0.14829685E-01 0.78702478E-03 01
86 84 223.00000 0.29242871E-03 0.61140472E-02 0.10282313E-03 -.25580541E-02 0.49069780E-02 0.81368001E-04 01
86 84 223.00000 -.38727805E-03 -.16481642E-01 -.48519364E-02 -.21660376E-01 -.40533967E-01 0.19952257E-02 01
86 84 223.00000 0.25871135E-03 0.43929986E-02 -.33004808E-02 -.13017892E-01 0.17132739E-01 0.16527120E-03 01
86 84 223.00000 -.34102213E-02 -.25304434E-02 -.56582277E-03 -.14198813E-02 -.23387783E-01 -.65804910E-03 01
86 84 223.00000 0.22110393E-03 -.10808149E-01 -.21574055E-04 -.40823218E-02 -.34180102E-01 0.20439655E-03 01
86 84 223.00000 -.44619831E-04 -.15211988E-01 0.68653345E-03 -.57412673E-02 -.37754554E-01 0.40494856E-03 01
86 84 223.00000 -.46084795E-03 -.98409681E-02 -.53861846E-03 0.47949828E-02 0.74936541E-03 0.56662251E-04 01
